id,age,city
1,1,Sonina
2,2,Itumbiara
3,3,Vnanje Gorice
4,4,Yujin
5,5,Linjiang
6,6,Ōkawa
7,7,Crnilište
8,8,Delray Beach
9,9,Manticao
10,10,Huangbu
11,11,Saraburi
12,12,Ni’ao
13,13,Lovas
14,14,Umuquena
15,15,San Jose
16,16,San Fernando
17,17,Conceição da Abóboda
18,18,Pakis
19,19,Mahendranagar
20,20,Pétionville
21,21,Nzeto
22,22,Mogi Mirim
23,23,Leomil
24,24,Lubu
25,25,Néa Palátia
26,26,Turośń Kościelna
27,27,Zamora
28,28,Whitegate
29,29,Donim
30,30,Ferreiras
31,31,Cascavel
32,32,Cachan
33,33,Belo
34,34,La Libertad
35,35,Göteborg
36,36,Oakland
37,37,Lijiapu
38,38,Shepetivka
39,39,Mariestad
40,40,Oslo
41,41,Farsta
42,42,Macieira de Rates
43,43,Jetis
44,44,Entebbe
45,45,Toyohashi
46,46,Zumarraga
47,47,Longfeng
48,48,Radojevo
49,49,Pingshan
50,50,Pasacao
51,51,Cumba
52,52,Temryuk
53,53,Tunis
54,54,Banjar Budakeling
55,55,Béja
56,56,Dimitrovgrad
57,57,Burgastai
58,58,Ārt Khwājah
59,59,Quezaltepeque
60,60,Hongyan
61,61,Garoua Boulaï
62,62,Mawu
63,63,Maddela
64,64,Alor Star
65,65,Otan Aiyegbaju
66,66,Sobotka
67,67,Lingtou
68,68,Gabao
69,69,Tubo
70,70,Kaset Wisai
71,71,Uruzgān
72,72,Tân An
73,73,Fanzeres
74,74,Mosina
75,75,Xinfengjie
76,76,Plaridel
77,77,Cobh
78,78,Gamping Lor
79,79,Murcki
80,80,Dipayal
81,81,Niquero
82,82,Xindai
83,83,Bromont
84,84,Mamuša
85,85,Frontignan
86,86,Uticyacu
87,87,Tall Rif‘at
88,88,Belford Roxo
89,89,Clermont-Ferrand
90,90,Saint-Bruno-de-Guigues
91,91,Pushkino
92,92,Būlaevo
93,93,Mapulo
94,94,Jugezhuang
95,95,Xiaochuan
96,96,Yāsūf
97,97,Paris 14
98,98,Ljubešćica
99,99,Rungis
100,100,Oni
